PCL,TL,litter.size
178.1,206.9,8
192.0,226.0,12
200.9,238.1,9
203.2,241.3,9
201.3,238.7,11
205.9,245.0,11
210.1,250.6,13
213.2,254.8,13
215.0,257.4,12
220.9,265.4,12
221.1,265.7,13
221.0,265.5,15
217.3,260.5,15
215.8,258.4,15
217.9,261.3,16
217.2,260.3,16
216.3,259.1,16
208.0,247.8,14
203.2,241.3,14
209.7,250.1,15
206.1,245.2,15
204.7,243.3,15
200.1,237.0,16
210.7,251.5,16
211.2,252.1,16
207.6,247.2,17
203.8,242.1,18
204.9,243.5,19
214.2,256.2,17
218.3,261.8,17
215.5,258.0,19
222.2,267.1,18
224.0,269.7,18
226.1,272.5,18
220.9,265.4,20
226.2,272.6,20
228.1,275.2,19
236.8,287.0,20