x,lx,dx,qx,Sx,Sx.mod
0,1000,317,0.317,0.670526578,0.670526578
1,683,205,0.300146413,0.693156001,0.693156001
2,478,133,0.278242678,0.714151122,0.714151122
3,345,93,0.269565217,0.73362997,0.73362997
4,252,61,0.242063492,0.751702051,0.751702051
5,191,47,0.246073298,0.768468961,0.768468961
6,144,32,0.222222222,0.784024962,0.784024962
7,112,22,0.196428571,0.798457504,0.798457504
8,90,18,0.2,0.811847724,0.811847724
9,72,14,0.194444444,0.8242709,0.8242709
10,58,11,0.189655172,0.835796871,0.835796871
11,47,7,0.14893617,0.846490433,0.846490433
12,40,4,0.1,0.856411703,0.856411703
13,36,7,0.194444444,0.865616457,0.865616457
14,29,4,0.137931034,0.874156442,0.874156442
15,25,3,0.12,0.882079666,0.882079666
16,22,0,0,0.889430674,0.889430674
17,22,4,0.181818182,0.89625079,0.89625079
18,18,4,0.222222222,0.902578355,0.902578355
19,14,0,0,0.908448942,0.905907598
20,14,0,0,0.913895554,0.90865847
21,14,3,0.214285714,0.91894881,0.911114939
22,11,0,0,0.923637119,0.913308512
23,11,0,0,0.927986837,0.915267325
24,11,0,0,0.932022417,0.917016503
25,11,4,0.363636364,0.935766547,0.91857848
26,7,0,0,0.939240275,0.919973293
27,7,0,0,0.942463129,0.92121883
28,7,0,0,0.945453228,0.922331067
29,7,0,0,0.948227381,0.923324271
30,7,0,0,0.950801184,0.924211181
31,7,0,0,0.953189107,0.925003172
32,7,0,0,0.955404573,0.925710403
33,7,0,0,0.957460038,0.926341944
34,7,0,0,0.959367056,0.926905897
35,7,0,0,0.961136349,0.927409495
36,7,0,0,0.962777864,0.927859197
37,7,3,0.428571429,0.964300827,0.928260771
38,4,0,0,0.965713802,0.928619368
39,4,0,0,0.967024732,0.928939588